"Time",White,Black,Asian or Pacific Islander,Hispanic,Unknown,Other,Native Americn or Alaskan Native
"12 AM",9652,364,223,141,26,0,14
1 AM,5843,268,129,112,14,0,10
2 AM,2000,90,31,51,2,0,4
3 AM,680,39,4,10,2,0,0
4 AM,290,15,7,2,1,0,0
5 AM,590,19,4,1,2,0,0
6 AM,2962,39,17,26,6,0,2
7 AM,8219,129,58,48,25,0,4
8 AM,14379,279,128,105,37,0,14
9 AM,15921,309,187,121,45,0,15
10 AM,13597,243,194,138,44,0,11
11 AM,10195,209,119,116,37,0,7
12 PM,8837,137,125,73,20,0,8
1 PM,12385,258,165,126,34,0,12
2 PM,16455,344,225,159,47,0,12
3 PM,18947,409,240,189,60,0,14
4 PM,17931,321,235,167,58,0,17
5 PM,22535,411,269,188,93,0,28
6 PM,24842,491,317,258,93,0,33
7 PM,15016,294,207,139,39,0,23
8 PM,10330,213,145,99,25,0,10
9 PM,10939,264,138,100,28,0,12
10 PM,11738,272,195,112,32,0,11
11 PM,11933,324,245,144,44,0,18
